CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
4,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,12,1,12
4,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,13,1,13
5,M,0K,GEN ED,-,-,-,650,33,19.7
5,M,0K,CTT,-,-,-,156,8,19.5
5,M,01,GEN ED,-,-,-,704,36,19.6
5,M,01,CTT,-,-,-,134,6,22.3
5,M,01,G&T,-,-,-,44,2,22
5,M,02,GEN ED,-,-,-,691,31,22.3
5,M,02,CTT,-,-,-,107,5,21.4
5,M,02,G&T,-,-,-,61,3,20.3
5,M,03,GEN ED,-,-,-,618,28,22.1
5,M,03,CTT,-,-,-,126,5,25.2
5,M,03,G&T,-,-,-,61,3,20.3
5,M,04,GEN ED,-,-,-,658,28,23.5
5,M,04,CTT,-,-,-,195,8,24.4
5,M,04,G&T,-,-,-,63,3,21
5,M,05,GEN ED,-,-,-,590,27,21.9
5,M,05,CTT,-,-,-,170,7,24.3
5,M,05,G&T,-,-,-,40,2,20
5,M,06,GEN ED,-,-,-,665,27,24.6
5,M,06,CTT,-,-,-,168,8,21
5,M,06,G&T,-,-,-,26,1,26
5,M,07,GEN ED,-,-,-,753,30,25.1
5,M,07,CTT,-,-,-,185,7,26.4
5,M,08,GEN ED,-,-,-,917,34,27
5,M,08,CTT,-,-,-,133,5,26.6
5,M,09,GEN ED,-,-,-,95,3,31.7
5,M,0K-09,SPEC ED,-,-,12:1,151,18,8.4
5,M,0K-09,SPEC ED,-,-,12:1:1,588,59,10
5,M,MS Core,GEN ED,ENGLISH,MS English Core,-,2288,94,24.3
5,M,MS Core,GEN ED,MATH,MS Math Core,-,1803,76,23.7
5,M,MS Core,GEN ED,MATH,Integrated Algebra,-,129,5,25.8
5,M,MS Core,GEN ED,MATH,Math A,-,219,9,24.3
5,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,1460,61,23.9
5,M,MS Core,GEN ED,SCIENCE,Earth Science,-,253,9,28.1
5,M,MS Core,GEN ED,SCIENCE,Living Environment,-,318,13,24.5
5,M,MS Core,GEN ED,SCIENCE,Other Science,-,174,7,24.9
5,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,1607,68,23.6
5,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,287,11,26.1
5,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,159,6,26.5
5,M,MS Core,CTT,ENGLISH,MS English Core,-,574,22,26.1
5,M,MS Core,CTT,MATH,MS Math Core,-,332,14,23.7
5,M,MS Core,CTT,MATH,Integrated Algebra,-,16,1,16
5,M,MS Core,CTT,SCIENCE,MS Science Core,-,289,12,24.1
5,M,MS Core,CTT,SCIENCE,Earth Science,-,35,1,35
5,M,MS Core,CTT,SCIENCE,Living Environment,-,36,1,36
5,M,MS Core,CTT,SCIENCE,Other Science,-,42,2,21
5,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,304,12,25.3
5,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,56,2,28
5,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,78,8,9.8
5,M,MS Core,SPEC ED,MATH,MS Math Core,-,140,15,9.3
5,M,MS Core,SPEC ED,MATH,Math A,-,25,2,12.5
5,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,97,10,9.7
5,M,MS Core,SPEC ED,SCIENCE,Earth Science,-,10,1,10
5,M,MS Core,SPEC ED,SCIENCE,Living Environment,-,25,2,12.5
5,M,MS Core,SPEC ED,SCIENCE,Chemistry,-,10,1,10
5,M,MS Core,SPEC ED,SCIENCE,Other Science,-,12,1,12
5,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,96,10,9.6
5,M,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,25,2,12.5
5,M,09-12,GEN ED,ENGLISH,English 9,-,1166,48,24.3
5,M,09-12,GEN ED,ENGLISH,English 10,-,880,36,24.4
5,M,09-12,GEN ED,ENGLISH,English 11,-,796,33,24.1
5,M,09-12,GEN ED,ENGLISH,English 12,-,657,29,22.7
5,M,09-12,GEN ED,ENGLISH,MS English Core,-,219,9,24.3
5,M,09-12,GEN ED,ENGLISH,Other English,-,414,17,24.4
5,M,09-12,GEN ED,MATH,Integrated Algebra,-,1384,62,22.3
5,M,09-12,GEN ED,MATH,Geometry,-,760,30,25.3
5,M,09-12,GEN ED,MATH,Trigonometry,-,554,21,26.4
5,M,09-12,GEN ED,MATH,Math A,-,52,3,17.3
5,M,09-12,GEN ED,MATH,Other Math,-,391,17,23
5,M,09-12,GEN ED,SCIENCE,Earth Science,-,1030,41,25.1
5,M,09-12,GEN ED,SCIENCE,Living Environment,-,1217,52,23.4
5,M,09-12,GEN ED,SCIENCE,Chemistry,-,441,18,24.5
5,M,09-12,GEN ED,SCIENCE,Physics,-,1179,44,26.8
5,M,09-12,GEN ED,SCIENCE,Other Science,-,980,43,22.8
5,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1893,75,25.2
5,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,976,43,22.7
5,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,188,7,26.9
5,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,234,11,21.3
5,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,157,8,19.6
5,M,09-12,CTT,ENGLISH,English 9,-,142,5,28.4
5,M,09-12,CTT,ENGLISH,English 10,-,135,5,27
5,M,09-12,CTT,ENGLISH,English 11,-,64,3,21.3
5,M,09-12,CTT,ENGLISH,English 12,-,23,1,23
5,M,09-12,CTT,ENGLISH,Other English,-,53,3,17.7
5,M,09-12,CTT,MATH,Integrated Algebra,-,371,14,26.5
5,M,09-12,CTT,MATH,Geometry,-,63,3,21
5,M,09-12,CTT,MATH,Trigonometry,-,21,1,21
5,M,09-12,CTT,SCIENCE,Earth Science,-,124,5,24.8
5,M,09-12,CTT,SCIENCE,Living Environment,-,222,8,27.8
5,M,09-12,CTT,SCIENCE,Physics,-,31,1,31
5,M,09-12,CTT,SCIENCE,Other Science,-,264,11,24
5,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,306,11,27.8
5,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,131,5,26.2
5,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,23,1,23
5,M,09-12,SPEC ED,ENGLISH,English 9,-,10,1,10
5,M,09-12,SPEC ED,ENGLISH,English 10,-,12,1,12
5,M,09-12,SPEC ED,ENGLISH,English 11,-,32,3,10.7
5,M,09-12,SPEC ED,ENGLISH,English 12,-,45,5,9
5,M,09-12,SPEC ED,ENGLISH,MS English Core,-,25,2,12.5
5,M,09-12,SPEC ED,ENGLISH,Other English,-,25,2,12.5
5,M,09-12,SPEC ED,MATH,Integrated Algebra,-,24,2,12
5,M,09-12,SPEC ED,MATH,Geometry,-,15,1,15
5,M,09-12,SPEC ED,SCIENCE,Earth Science,-,23,2,11.5
5,M,09-12,SPEC ED,SCIENCE,Living Environment,-,10,1,10
5,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,22,2,11
5,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,14,1,14
6,M,0K,GEN ED,-,-,-,1825,80,22.8
6,M,0K,CTT,-,-,-,233,12,19.4
6,M,0K,G&T,-,-,-,20,1,20
6,M,01,GEN ED,-,-,-,1934,81,23.9
6,M,01,CTT,-,-,-,240,11,21.8
6,M,01,G&T,-,-,-,25,1,25
6,M,02,GEN ED,-,-,-,1897,84,22.6
6,M,02,CTT,-,-,-,199,9,22.1
6,M,02,G&T,-,-,-,13,1,13
6,M,03,GEN ED,-,-,-,1687,69,24.4
6,M,03,CTT,-,-,-,236,9,26.2
6,M,03,G&T,-,-,-,60,2,30
6,M,04,GEN ED,-,-,-,1674,67,25
6,M,04,CTT,-,-,-,278,11,25.3
6,M,04,G&T,-,-,-,25,1,25
6,M,05,GEN ED,-,-,-,1502,62,24.2
6,M,05,CTT,-,-,-,232,10,23.2
6,M,05,G&T,-,-,-,24,1,24
6,M,06,GEN ED,-,-,-,1605,63,25.5
6,M,06,CTT,-,-,-,244,9,27.1
6,M,07,GEN ED,-,-,-,1754,64,27.4
6,M,07,CTT,-,-,-,348,13,26.8
6,M,08,GEN ED,-,-,-,1893,71,26.7
6,M,08,CTT,-,-,-,314,11,28.5
6,M,0K-09,SPEC ED,-,-,12:1,249,27,9.2
6,M,0K-09,SPEC ED,-,-,12:1:1,660,67,9.9
6,M,MS Core,GEN ED,ENGLISH,MS English Core,-,5573,235,23.7
6,M,MS Core,GEN ED,MATH,MS Math Core,-,5241,211,24.8
6,M,MS Core,GEN ED,MATH,Integrated Algebra,-,473,18,26.3
6,M,MS Core,GEN ED,MATH,Geometry,-,80,4,20
6,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,5462,211,25.9
6,M,MS Core,GEN ED,SCIENCE,Earth Science,-,273,11,24.8
6,M,MS Core,GEN ED,SCIENCE,Living Environment,-,194,7,27.7
6,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,4915,191,25.7
6,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,69,3,23
6,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,498,19,26.2
6,M,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,144,7,20.6
6,M,MS Core,CTT,ENGLISH,MS English Core,-,898,37,24.3
6,M,MS Core,CTT,MATH,MS Math Core,-,910,35,26
6,M,MS Core,CTT,MATH,Integrated Algebra,-,29,1,29
6,M,MS Core,CTT,SCIENCE,MS Science Core,-,897,34,26.4
6,M,MS Core,CTT,SCIENCE,Earth Science,-,29,1,29
6,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,751,30,25
6,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,27,1,27
6,M,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,55,2,27.5
6,M,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,48,2,24
6,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,206,19,10.8
6,M,MS Core,SPEC ED,MATH,MS Math Core,-,186,17,10.9
6,M,MS Core,SPEC ED,MATH,Trigonometry,-,10,1,10
6,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,210,19,11.1
6,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,207,19,10.9
6,M,09-12,GEN ED,ENGLISH,English 9,-,1039,41,25.3
6,M,09-12,GEN ED,ENGLISH,English 10,-,1151,43,26.8
6,M,09-12,GEN ED,ENGLISH,English 11,-,1192,44,27.1
6,M,09-12,GEN ED,ENGLISH,English 12,-,717,25,28.7
6,M,09-12,GEN ED,ENGLISH,MS English Core,-,332,16,20.8
6,M,09-12,GEN ED,ENGLISH,Other English,-,943,39,24.2
6,M,09-12,GEN ED,MATH,Integrated Algebra,-,1941,78,24.9
6,M,09-12,GEN ED,MATH,Geometry,-,1683,58,29
6,M,09-12,GEN ED,MATH,Trigonometry,-,603,23,26.2
6,M,09-12,GEN ED,MATH,Math A,-,169,5,33.8
6,M,09-12,GEN ED,MATH,Math B,-,115,5,23
6,M,09-12,GEN ED,MATH,Other Math,-,227,9,25.2
6,M,09-12,GEN ED,SCIENCE,Earth Science,-,2361,87,27.1
6,M,09-12,GEN ED,SCIENCE,Living Environment,-,2532,99,25.6
6,M,09-12,GEN ED,SCIENCE,Chemistry,-,1547,55,28.1
6,M,09-12,GEN ED,SCIENCE,Physics,-,703,26,27
6,M,09-12,GEN ED,SCIENCE,Other Science,-,291,9,32.3
6,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,2598,96,27.1
6,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1445,53,27.3
6,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,47,2,23.5
6,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,718,25,28.7
6,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,131,5,26.2
6,M,09-12,CTT,ENGLISH,English 9,-,186,9,20.7
6,M,09-12,CTT,ENGLISH,English 10,-,148,6,24.7
6,M,09-12,CTT,ENGLISH,English 11,-,55,2,27.5
6,M,09-12,CTT,ENGLISH,English 12,-,19,1,19
6,M,09-12,CTT,ENGLISH,MS English Core,-,151,6,25.2
6,M,09-12,CTT,ENGLISH,Other English,-,136,7,19.4
6,M,09-12,CTT,MATH,Integrated Algebra,-,331,16,20.7
6,M,09-12,CTT,MATH,Trigonometry,-,27,1,27
6,M,09-12,CTT,SCIENCE,Earth Science,-,227,8,28.4
6,M,09-12,CTT,SCIENCE,Living Environment,-,376,15,25.1
6,M,09-12,CTT,SCIENCE,Chemistry,-,64,2,32
6,M,09-12,CTT,SCIENCE,Physics,-,31,1,31
6,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,191,8,23.9
6,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,229,10,22.9
6,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,25,1,25
6,M,09-12,SPEC ED,ENGLISH,English 10,-,11,1,11
6,M,09-12,SPEC ED,ENGLISH,English 12,-,22,2,11
6,M,09-12,SPEC ED,MATH,Integrated Algebra,-,24,2,12
6,M,09-12,SPEC ED,MATH,Geometry,-,12,1,12
6,M,09-12,SPEC ED,SCIENCE,Living Environment,-,10,1,10
6,M,09-12,SPEC ED,SCIENCE,Other Science,-,23,2,11.5
6,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,11,1,11
6,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,12,1,12
6,M,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,12,1,12
7,X,0K,GEN ED,-,-,-,1052,54,19.5
7,X,0K,CTT,-,-,-,147,7,21
7,X,01,GEN ED,-,-,-,1109,54,20.5
7,X,01,CTT,-,-,-,160,8,20
7,X,02,GEN ED,-,-,-,998,48,20.8
7,X,02,CTT,-,-,-,253,11,23
7,X,03,GEN ED,-,-,-,999,51,19.6
7,X,03,CTT,-,-,-,150,7,21.4
7,X,04,GEN ED,-,-,-,975,45,21.7
7,X,04,CTT,-,-,-,218,10,21.8
7,X,04,G&T,-,-,-,14,1,14
7,X,05,GEN ED,-,-,-,980,47,20.9
7,X,05,CTT,-,-,-,113,5,22.6
7,X,06,GEN ED,-,-,-,1020,39,26.2
7,X,06,CTT,-,-,-,211,8,26.4
7,X,07,GEN ED,-,-,-,999,38,26.3
7,X,07,CTT,-,-,-,193,7,27.6
7,X,08,GEN ED,-,-,-,1028,40,25.7
7,X,08,CTT,-,-,-,128,5,25.6
7,X,0K-09,SPEC ED,-,-,12:1,746,69,10.8
7,X,0K-09,SPEC ED,-,-,12:1:1,420,41,10.2
7,X,0K-09,SPEC ED,-,-,6:1:1,2,1,2
7,X,MS Core,GEN ED,ENGLISH,MS English Core,-,3039,125,24.3
7,X,MS Core,GEN ED,MATH,MS Math Core,-,2880,118,24.4
7,X,MS Core,GEN ED,MATH,Integrated Algebra,-,68,3,22.7
7,X,MS Core,GEN ED,MATH,Math A,-,208,8,26
7,X,MS Core,GEN ED,SCIENCE,MS Science Core,-,2999,121,24.8
7,X,MS Core,GEN ED,SCIENCE,Living Environment,-,233,9,25.9
7,X,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,3173,129,24.6
7,X,MS Core,CTT,ENGLISH,MS English Core,-,469,21,22.3
7,X,MS Core,CTT,MATH,MS Math Core,-,488,21,23.2
7,X,MS Core,CTT,MATH,Math A,-,24,1,24
7,X,MS Core,CTT,SCIENCE,MS Science Core,-,456,19,24
7,X,MS Core,CTT,SCIENCE,Living Environment,-,25,1,25
7,X,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,498,21,23.7
7,X,MS Core,SPEC ED,ENGLISH,MS English Core,-,307,27,11.4
7,X,MS Core,SPEC ED,MATH,MS Math Core,-,317,28,11.3
7,X,MS Core,SPEC ED,SCIENCE,MS Science Core,-,314,28,11.2
7,X,MS Core,SPEC ED,SCIENCE,Living Environment,-,23,2,11.5
7,X,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,310,28,11.1
7,X,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,24,2,12
7,X,09-12,GEN ED,ENGLISH,English 9,-,1396,60,23.3
7,X,09-12,GEN ED,ENGLISH,English 10,-,1504,62,24.3
7,X,09-12,GEN ED,ENGLISH,English 11,-,1271,54,23.5
7,X,09-12,GEN ED,ENGLISH,English 12,-,1055,45,23.4
7,X,09-12,GEN ED,ENGLISH,MS English Core,-,158,9,17.6
7,X,09-12,GEN ED,ENGLISH,Other English,-,1058,52,20.3
7,X,09-12,GEN ED,MATH,Integrated Algebra,-,1801,75,24
7,X,09-12,GEN ED,MATH,Geometry,-,1065,45,23.7
7,X,09-12,GEN ED,MATH,Trigonometry,-,1109,47,23.6
7,X,09-12,GEN ED,MATH,Math A,-,319,15,21.3
7,X,09-12,GEN ED,MATH,Math B,-,24,1,24
7,X,09-12,GEN ED,MATH,Other Math,-,430,22,19.5
7,X,09-12,GEN ED,SCIENCE,Earth Science,-,700,28,25
7,X,09-12,GEN ED,SCIENCE,Living Environment,-,2635,114,23.1
7,X,09-12,GEN ED,SCIENCE,Chemistry,-,1560,63,24.8
7,X,09-12,GEN ED,SCIENCE,Physics,-,508,25,20.3
7,X,09-12,GEN ED,SCIENCE,Other Science,-,1350,54,25
7,X,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,2484,100,24.8
7,X,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1671,67,24.9
7,X,09-12,GEN ED,SOCIAL STUDIES,Economics,-,223,11,20.3
7,X,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,851,35,24.3
7,X,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,399,19,21
7,X,09-12,CTT,ENGLISH,English 9,-,374,14,26.7
7,X,09-12,CTT,ENGLISH,English 10,-,306,11,27.8
7,X,09-12,CTT,ENGLISH,English 11,-,244,10,24.4
7,X,09-12,CTT,ENGLISH,English 12,-,70,3,23.3
7,X,09-12,CTT,ENGLISH,MS English Core,-,5,1,5
7,X,09-12,CTT,ENGLISH,Other English,-,474,21,22.6
7,X,09-12,CTT,MATH,Integrated Algebra,-,915,36,25.4
7,X,09-12,CTT,MATH,Geometry,-,88,4,22
7,X,09-12,CTT,MATH,Trigonometry,-,137,5,27.4
7,X,09-12,CTT,MATH,Math A,-,50,2,25
7,X,09-12,CTT,MATH,Math B,-,25,1,25
7,X,09-12,CTT,MATH,Other Math,-,29,1,29
7,X,09-12,CTT,SCIENCE,Earth Science,-,270,9,30
7,X,09-12,CTT,SCIENCE,Living Environment,-,804,33,24.4
7,X,09-12,CTT,SCIENCE,Chemistry,-,189,10,18.9
7,X,09-12,CTT,SCIENCE,Physics,-,26,1,26
7,X,09-12,CTT,SCIENCE,Other Science,-,448,13,34.5
7,X,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,923,34,27.1
7,X,09-12,CTT,SOCIAL STUDIES,US History & Government,-,440,16,27.5
7,X,09-12,CTT,SOCIAL STUDIES,Economics,-,33,1,33
7,X,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,113,4,28.3
7,X,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,141,5,28.2
7,X,09-12,SPEC ED,ENGLISH,English 9,-,88,7,12.6
7,X,09-12,SPEC ED,ENGLISH,English 10,-,64,6,10.7
7,X,09-12,SPEC ED,ENGLISH,English 11,-,90,8,11.3
7,X,09-12,SPEC ED,ENGLISH,English 12,-,55,5,11
7,X,09-12,SPEC ED,ENGLISH,MS English Core,-,24,2,12
7,X,09-12,SPEC ED,ENGLISH,Other English,-,33,3,11
7,X,09-12,SPEC ED,MATH,Integrated Algebra,-,125,11,11.4
7,X,09-12,SPEC ED,MATH,Geometry,-,29,2,14.5
7,X,09-12,SPEC ED,MATH,Trigonometry,-,33,3,11
7,X,09-12,SPEC ED,MATH,Other Math,-,38,4,9.5
7,X,09-12,SPEC ED,SCIENCE,Earth Science,-,12,1,12
7,X,09-12,SPEC ED,SCIENCE,Living Environment,-,167,13,12.8
7,X,09-12,SPEC ED,SCIENCE,Chemistry,-,38,3,12.7
7,X,09-12,SPEC ED,SCIENCE,Other Science,-,103,8,12.9
7,X,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,159,14,11.4
7,X,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,85,7,12.1
7,X,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,55,5,11
10,X,04,G&T,-,-,-,25,1,25
7,X,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,7,1,7
8,X,0K,GEN ED,-,-,-,1785,76,23.5
8,X,0K,CTT,-,-,-,310,14,22.1
8,X,01,GEN ED,-,-,-,1915,83,23.1
8,X,01,CTT,-,-,-,249,11,22.6
8,X,01,G&T,-,-,-,25,1,25
8,X,02,GEN ED,-,-,-,1701,76,22.4
8,X,02,CTT,-,-,-,342,14,24.4
8,X,02,G&T,-,-,-,24,1,24
8,X,03,GEN ED,-,-,-,1738,74,23.5
8,X,03,CTT,-,-,-,331,14,23.6
8,X,04,GEN ED,-,-,-,1595,66,24.2
8,X,04,CTT,-,-,-,483,20,24.2
8,X,04,G&T,-,-,-,21,1,21
8,X,05,GEN ED,-,-,-,1782,72,24.8
8,X,05,CTT,-,-,-,395,16,24.7
8,X,05,G&T,-,-,-,22,1,22
8,X,06,GEN ED,-,-,-,1599,60,26.7
8,X,06,CTT,-,-,-,335,13,25.8
8,X,06,G&T,-,-,-,57,2,28.5
8,X,07,GEN ED,-,-,-,1566,59,26.5
8,X,07,CTT,-,-,-,386,15,25.7
8,X,07,G&T,-,-,-,66,2,33
8,X,08,GEN ED,-,-,-,1584,55,28.8
8,X,08,CTT,-,-,-,503,19,26.5
8,X,08,G&T,-,-,-,59,2,29.5
8,X,09,GEN ED,-,-,-,247,9,27.4
8,X,0K-09,SPEC ED,-,-,12:1,685,63,10.9
8,X,0K-09,SPEC ED,-,-,12:1:1,937,88,10.6
8,X,MS Core,GEN ED,ENGLISH,MS English Core,-,5991,243,24.7
8,X,MS Core,GEN ED,MATH,MS Math Core,-,4648,186,25
8,X,MS Core,GEN ED,MATH,Integrated Algebra,-,238,9,26.4
8,X,MS Core,GEN ED,SCIENCE,MS Science Core,-,4378,177,24.7
8,X,MS Core,GEN ED,SCIENCE,Living Environment,-,340,14,24.3
8,X,MS Core,GEN ED,SCIENCE,Physics,-,93,3,31
8,X,MS Core,GEN ED,SCIENCE,Other Science,-,36,2,18
8,X,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,4608,185,24.9
8,X,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,234,9,26
8,X,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,110,5,22
8,X,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,109,6,18.2
8,X,MS Core,CTT,ENGLISH,MS English Core,-,897,38,23.6
8,X,MS Core,CTT,MATH,MS Math Core,-,885,37,23.9
8,X,MS Core,CTT,MATH,Integrated Algebra,-,110,4,27.5
8,X,MS Core,CTT,MATH,Math A,-,25,1,25
8,X,MS Core,CTT,SCIENCE,MS Science Core,-,855,35,24.4
8,X,MS Core,CTT,SCIENCE,Living Environment,-,130,5,26
8,X,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,904,36,25.1
8,X,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,60,3,20
8,X,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,42,2,21
8,X,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,41,2,20.5
8,X,MS Core,SPEC ED,ENGLISH,MS English Core,-,606,54,11.2
8,X,MS Core,SPEC ED,MATH,MS Math Core,-,537,48,11.2
8,X,MS Core,SPEC ED,MATH,Integrated Algebra,-,11,1,11
8,X,MS Core,SPEC ED,SCIENCE,MS Science Core,-,442,40,11.1
8,X,MS Core,SPEC ED,SCIENCE,Living Environment,-,35,3,11.7
8,X,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,428,38,11.3
8,X,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,37,3,12.3
8,X,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,10,1,10
8,X,09-12,GEN ED,ENGLISH,English 9,-,1599,70,22.8
8,X,09-12,GEN ED,ENGLISH,English 10,-,1668,61,27.3
8,X,09-12,GEN ED,ENGLISH,English 11,-,1521,59,25.8
8,X,09-12,GEN ED,ENGLISH,English 12,-,1371,55,24.9
8,X,09-12,GEN ED,ENGLISH,MS English Core,-,78,3,26
8,X,09-12,GEN ED,ENGLISH,Other English,-,1755,72,24.4
8,X,09-12,GEN ED,MATH,Integrated Algebra,-,2555,110,23.2
8,X,09-12,GEN ED,MATH,Geometry,-,1942,77,25.2
8,X,09-12,GEN ED,MATH,Trigonometry,-,522,24,21.8
8,X,09-12,GEN ED,MATH,Math A,-,128,5,25.6
8,X,09-12,GEN ED,MATH,Math B,-,14,1,14
8,X,09-12,GEN ED,MATH,Other Math,-,537,21,25.6
8,X,09-12,GEN ED,SCIENCE,Earth Science,-,1700,63,27
8,X,09-12,GEN ED,SCIENCE,Living Environment,-,2584,101,25.6
8,X,09-12,GEN ED,SCIENCE,Chemistry,-,1135,44,25.8
8,X,09-12,GEN ED,SCIENCE,Physics,-,246,10,24.6
8,X,09-12,GEN ED,SCIENCE,Other Science,-,1491,54,27.6
8,X,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4272,165,25.9
8,X,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1676,63,26.6
8,X,09-12,GEN ED,SOCIAL STUDIES,Economics,-,138,5,27.6
8,X,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,1071,41,26.1
8,X,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,620,27,23
8,X,09-12,CTT,ENGLISH,English 9,-,311,13,23.9
8,X,09-12,CTT,ENGLISH,English 10,-,441,18,24.5
8,X,09-12,CTT,ENGLISH,English 11,-,442,15,29.5
8,X,09-12,CTT,ENGLISH,English 12,-,189,8,23.6
8,X,09-12,CTT,ENGLISH,MS English Core,-,19,1,19
8,X,09-12,CTT,ENGLISH,Other English,-,452,19,23.8
8,X,09-12,CTT,MATH,Integrated Algebra,-,715,29,24.7
8,X,09-12,CTT,MATH,Geometry,-,637,23,27.7
8,X,09-12,CTT,MATH,Other Math,-,33,2,16.5
8,X,09-12,CTT,SCIENCE,Earth Science,-,654,24,27.3
8,X,09-12,CTT,SCIENCE,Living Environment,-,1081,41,26.4
8,X,09-12,CTT,SCIENCE,Chemistry,-,65,3,21.7
8,X,09-12,CTT,SCIENCE,Physics,-,46,2,23
8,X,09-12,CTT,SCIENCE,Other Science,-,491,16,30.7
8,X,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,1293,50,25.9
8,X,09-12,CTT,SOCIAL STUDIES,US History & Government,-,248,9,27.6
8,X,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,185,6,30.8
8,X,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,165,7,23.6
8,X,09-12,SPEC ED,ENGLISH,English 9,-,168,15,11.2
